Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank,Year,UG_Students,Total_Students,Capital_Expenditure,Operational_Expenditure,Total_Expenditure,WOS_Publications,WOS_Citations,Scopus_Publications
NIRF-ENGG-INF-77,"Indian Institute Of Technology, Madras",88.26,94.02,81.81,86.11,98,Chennai,Tamil Nadu,89.41,1,2016,1922.562283,1540.57518,1990158955,3694914944,4935002996,3215.940933,12151.89407,3710.447951
NIRF-ENGG-INF-312,"Indian Institute Of Technology, Bombay",85.93,94.14,84.97,74.84,99,Bombay,Maharashtra,87.66,2,2016,1959.868068,2223.7339,1989932829,3777910008,4976810022,3363.852642,12265.12097,3780.274453
NIRF-ENGG-INF-300,"Indian Institute Of Technology, Kharagpur",76.23,92.68,83.95,78.05,97,Kharagpur,West Bengal,83.91,3,2016,2519.273392,4103.992785,1980533477,3302636759,4097908104,3215.052786,12200.82776,3526.489171
NIRF-ENGG-INF-79,"Indian Institute Of Technology, Delhi",80.27,91.62,74.72,66.17,98,New Delhi,Delhi,82.02,4,2016,717.8826534,886.4604119,1168764949,3598247515,4061474383,3238.612025,14650.95611,3479.747518
NIRF-ENGG-INF-228,"Indian Institute Of Technology, Kanpur",66.08,93.52,85.62,70.59,98,Kanpur,Uttar Pradesh,81.07,5,2016,2297.164994,3356.334406,676727855.7,2798543825,3272457266,3390.774241,14167.32159,3676.993111
NIRF-ENGG-INF-78,"Indian Institute Of Technology, Roorkee",67.83,83.5,81.61,76.59,96,Roorkee,Uttarakhand,78.68,6,2016,2894.30777,4459.047703,1801363928,2751977758,3252892110,3246.271718,14715.09421,3569.31981
NIRF-ENGG-INF-345,"Indian Institute Of Technology, Hyderabad",76.76,76.83,80.89,63.76,95,Hyderabad,Telangana,77.22,7,2016,869.6162943,917.0893155,1250277960,2648189236,3154901697,3053.893746,13811.74938,4397.30741
NIRF-ENGG-INF-298,"Indian Institute Of Technology, Gandhinagar",80.36,72.09,64.91,71.94,96,Ahmedabad,Gujarat,75.2,8,2016,1254.544509,1437.389753,1711317089,2732333413,2717246711,2855.691566,10859.21123,3078.745065
NIRF-ENGG-INF-340,"Indian Institute Of Technology, Ropar-Rupnagar",89.96,73.56,86.42,60.67,38,Rupnagar,Punjab,74.88,9,2016,1090.933771,450.0413567,1154647913,1572150898,2685019839,3238.532828,15154.34988,3742.795642
NIRF-ENGG-INF-344,"Indian Institute Of Technology, Patna",79.8,68.29,74.13,68.78,93,Patna,Bihar,74.68,10,2016,2256.542899,1795.099365,1236050030,2737585460,2782879393,2814.463223,13678.17931,3693.013222
NIRF-ENGG-INF-299,"Indian Institute Of Technology, North Guwahati",71.92,78.66,71.82,65.62,94,Guwahati,Assam,74.62,11,2016,1667.375376,1226.39606,1136476980,2598721380,2697586200,2904.829418,11499.77866,3652.161933
NIRF-ENGG-INF-370,"National Institute Of Technology, Tiruchirappalli",56.99,80.37,81.5,79.5,92,Tiruchirappalli,Tamil Nadu,74.45,12,2016,4743.127043,6315.019201,1648878652,2560765346,2696543099,2924.607069,14283.36454,3725.330904
NIRF-ENGG-768,Vellore Institute Of Technology,66.95,74.72,77.38,77.11,91,Vellore,Tamil Nadu,74.4,13,2016,2711.312008,4572.372484,1676501027,2541940999,2692510471,2916.67214,13699.52927,3694.270492
NIRF-ENGG-INF-423,"Indian Institute Of Technology (Banaras Hindu University), Varanasi",59.08,80.63,96.8,56.73,96,Varanasi,Uttar Pradesh,74.39,14,2016,3423.800765,2691.980445,593433372.3,2602435615,2532618668,3142.712939,13893.52311,4082.391901
NIRF-ENGG-INF-373,Sardar Vallabhbhai National Institute Of Technology,59.02,85.24,78.43,68.81,83,Surat,Gujarat,73.13,15,2016,3669.39105,5281.853223,608831114.4,2717399338,2705959855,2921.554447,14287.42158,3826.214803
