Institute,Residual
"PSNA College of Engineering and Technology, Dindigul",-0.6777526052679121
Mepco Schlenk Engineering College,-0.6580458349990437
Bharati Vidyapeeth Deemed University College of Engineering,-0.6562393262083503
Maulana Azad National Institute of Technology,-0.6376551835163298
Pondicherry Engineering College,-0.5538321310937846
Indian Institute of Technology Guwahati,-0.4604423803471942
National Institute of Technology Surathkal,-0.4602402690563352
National Institute of Technology Silchar,-0.4320241553886248
Indian Institute of Space Science and Technology,-0.3627855469500574
Kalinga Institute of Industrial Technology,-0.2914586273325668
Siddaganga Institute of Technology,-0.28611079381914806
Jaypee Institute of Information Technology,-0.2809734630528311
Army Institute of Technology,-0.2686315475495036
Indian Institute of Technology Patna,-0.2541672061716298
National Institute of Technology Hamirpur,-0.23266628195567307
Coimbatore Institute of Technology,-0.23213226998731784
B.M.S. College of Engineering,-0.22218225377713452
"College of Engineering, Pune",-0.21930776849480083
Motilal Nehru National Institute of Technology,-0.21695714239905328
Indian Institute of Technology Ropar,-0.20484913990464193
Sardar Vallabhbhai National Institute of Technology,-0.19440962740875278
Indian Institute of Technology Hyderabad,-0.18380393632465797
Institute of Chemical Technology,-0.18006630739041185
Birla Institute of Technology,-0.1737065874040411
"National Institute of Industrial Engineering, Mumbai",-0.16412408621965113
"G. H. Raisoni College of Engineering, NAGPUR",-0.15649122355752354
Sri Sivasubrmaniya Nadar College of Engineering,-0.14733964938082877
Indian Institute of Technology Madras,-0.14694962178970128
National Institute of Technology Warangal,-0.1441816614309417
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),-0.12844764207309822
Indian Institute of Technology Roorkee,-0.1276876050303457
R.V. College of Engineering,-0.12753326044696678
Indian Institute of Technology Gandhinagar,-0.1189552929319646
"Indian Institute of Technology (Banaras Hindu University), Varanasi",-0.11102164037664863
Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,-0.10641722029040324
Jamia Millia Islamia,-0.10230499997572551
Dhirubhai Ambani Institute of Information and Communication Technology,-0.09841515603747553
National Institute of Technology Calicut,-0.09670189691185271
Indian Institute of Technology Mandi,-0.09423846041615036
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM), Jabalpur",-0.09418619985856935
"Vignan's Foundation for Science, Technology and Research",-0.09145118357686499
R.M.K. Engineering College,-0.09022816967824099
Indian Institute of Technology Indore,-0.08414888403009968
Sri Venkateswara University,-0.08202088626094906
Shri Ramdeobaba College of Engineering and Management,-0.07471666437106705
"Indian Institute of Engineering Science And Technology, Shibpur",-0.07155915909242339
Indian Institute of Technology Kanpur,-0.06858790244935165
Indian Institute of Technology Kharagpur,-0.06283763472453208
Shanmugha Arts Science Technology & Research Academy (SASTRA),-0.06255408892095815
Nirma University,-0.05157402223308338
National Institute of Technology Tiruchirappalli,-0.049710492823875185
Anna University,-0.03823164937963952
Indian Institute of Technology (Indian School of Mines),-0.02598442138951995
C.V. Raman College of Engineering,-0.025872033923462823
National Institute of Technology Rourkela,-0.00895433164400039
Kongu Engineering College,-0.004600661798363603
M. S. Ramaiah Institute of Technology,0.006838143879228653
Indian Institute of Technology Jodhpur,0.008099296615569074
"Visvesvaraya National Institute of Technology, Nagpur (Deemed University)",0.008772834617573722
Indian Institute of Technology Delhi,0.017876805385106387
Indian Institute of Technology Bombay,0.03495089750259828
Manipal Institute of Technology,0.047441517246092246
Karunya Institute of Technology and Sciences-Coimbatore,0.06490672585550783
Chaitanya Bharathi Institute of Technology,0.06727146224521618
Saveetha Engineering College,0.06802959552183552
National Institute of Technology Durgapur,0.06911998759741067
Vellore Institute of Technology,0.07804963360905504
SR Engineering College,0.07906773766930542
Indian Institute of Technology Bhubaneswar,0.08305013021529106
National Institute of Technology Manipur,0.08394520545029138
Thiagarajar College of Engineering,0.0895713228505457
Jadavpur University,0.08998418775883188
"Indraprastha Institute of Information Technology-New Delhi (IIIT New Delhi, Delhi)",0.09802041962129238
Sri Sai Ram Engineering College,0.10102127165320951
Jaypee University of Information Technology-Solan,0.10760096977081446
BMS Institute of Technology & Management,0.12813276474986424
PSG College of Technology,0.13305139497858676
S.R.M Institute of Science and Technology,0.1346974781566388
Kumaraguru College of Technology,0.13687007996364287
AMITY University,0.194959453166625
Sagi Ramakrishnam Raju Engineering College,0.20174784828483894
Delhi Technological University,0.2162232954575245
ST. Joseph's College of Engineering,0.23988045193736696
PES University,0.3025540701664795
"Faculty of Technology & Engineering, The Maharaja Sayajirao University of Baroda",0.3532783369554551
Zakir Husain College of Engineering & Technology,0.36206308145986554
National Institute of Technology Meghalaya,0.3664952925583833
Thapar University,0.37090872174310263
Guru Gobind Singh Indraprastha University,0.3817889860727348
Jawaharlal Nehru Technological University,0.4319880557240978
"Malaviya National Institute of Technology, Jaipur",0.4350111124285121
"Maharashtra Institute of Technology, Pune",0.4499816689038738
K.S.Rangasamy College of Technology,0.5800237885662511
National Institute of Technology Kurukshetra,0.6369982136981633
Punjab Engineering College,0.6600342027575294
International Institute of Information Technology,0.726447537726699
College of Engineering Trivandrum,0.7721250022376864
B.S. Abdur Rahman Institute of Science and Technology,0.7962001840844124
Andhra University,0.9833890219806705
