Feature,Importance
WOS_Publications,0.63055019734239
Total_Students,0.07441066580491217
PU,0.0468840856942238
Faculty_PhD,0.04538827972619079
Scopus_Publications,0.04324309870003076
SS,0.023366303864059936
FQE,0.020571626153415602
IPR,0.019145206063950343
QP,0.01633541202077555
Operational_Expenditure,0.01595029003564842
Capital_Expenditure,0.015553640539112028
Patents_Published,0.014492156813296247
Year,0.014201517776654377
FSR,0.009684290490835188
Faculty_Total,0.006672356622535016
Patents_Granted,0.0025722280478418396
Faculty_Women,0.0006650357710245486
PhD_Students,0.00020532929491740026
PG_Students,7.199010376039492e-05
WOS_Citations,3.392198532839248e-05
UG_Students,2.3671490971539252e-06
FRU,0.0
Total_Expenditure,0.0
FPPP,0.0
Research_Funding,0.0
